title,url,mp_name,rejected_type,rejected_reason,rejected_time
银行 “保本型理财” 的水有多深？亏钱背后的真相，一文给你讲明白,https://mp.weixin.qq.com/s/6v2C4hwX9zCHYoyWUwhi9g,港险圈研究院,🙅‍ 不选,标题讨论的是'银行保本型理财'，与我们香港储蓄险业务无关，属于明确的非相关主题。,2025-07-20 21:00:03
太保新品金如意，保证复利1.5%+直付内地养老社区，可惜有3个猫腻,https://mp.weixin.qq.com/s/4lXlvxXpf-tkL2QcdIcDTg,小冯妮儿聊港险,🙅‍ 不选,标题提及'太保新品金如意'，属于内地保险产品，与我们香港储蓄险业务无关。,2025-07-20 21:00:03
注意！税局对个人境外收入严查风暴来袭，香港保险能否独善其身？,https://mp.weixin.qq.com/s/dmjrzrlICnXqLVHv7v8b6A,心水保,🙅‍ 不选,标题涉及'税局对个人境外收入严查'和'香港保险能否独善其身'，属于税务研讨类内容，存在政策风险，必须无条件排除。,2025-07-20 21:00:04
数据揭秘丨买多少保险才能住得起养老社区,https://mp.weixin.qq.com/s/taDgY6QcAWkO5oih3Ip4sg,Pippo的金融笔记,⛔ 看文章再确定,标题提及'保险'和'养老社区'，但未明确是否与香港保险相关，需要阅读文章以判断其可复用价值。,2025-07-20 21:00:04
30年预期翻至6.2倍，7月爆款新品上线！,https://mp.weixin.qq.com/s/exXwgpk5IkjwPdsjthWrzw,香港投资风向标,➿ 钩子文章,标题包含具体数字（6.2倍）和'爆款新品'的诱惑性描述，但未点明具体产品，符合钩子文章的定义。,2025-07-20 21:00:04
回本快过存银行？2年缴费，3年回本，收益碾压老牌巨头？,https://mp.weixin.qq.com/s/_V65RFGWyQiDU0L_Pm7vyw,港险渠道,➿ 钩子文章,标题包含具体数字（2年缴费、3年回本）和收益对比，但未点明具体产品，属于典型的钩子文章形式。,2025-07-20 21:00:04
CRS监管+海外投资征税升级，买香港保险要交税吗？,https://mp.weixin.qq.com/s/oP3frk_GpLssIjLjZVFOBw,蓝星探险,🙅‍ 不选,标题涉及'CRS监管'和'海外投资征税'，属于高危政策风险内容，必须无条件排除。,2025-07-20 21:00:04
香港宏利保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/kRoChGxd_l3_mY-dRUbK4A,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港万通保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/OFMweNz5SlfjnsuUwAmZwQ,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港友邦保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/AL2wTllseN8af2iMIIax9w,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港保诚保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/E9-vfZG7FZnc9aadX_ijsA,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（绑定银行自动扣款），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港万通保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/BVYBgNDiFRJGngCCMaG5Xw,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（绑定银行自动扣款），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
如果保险公司倒闭了，我的香港保单怎么办？,https://mp.weixin.qq.com/s/nfrLQOeJ-6DhpyNxQ7HM0Q,港险渠道,🙅‍ 不选,标题涉及保险公司倒闭的系统性风险，属于负面信息，可能对品牌形象产生不利影响，且无法提供增量信息，故归类为不选。,2025-07-20 21:03:28
体检“一堆毛病”？宏利宏伴重疾险，高发病症全覆盖，还有源源不断现金流！,https://mp.weixin.qq.com/s/NTfPFEyiXq-G2lZlQ7zAxw,港险研究院,🙅‍ 不选,标题提及'重疾险'，与我们核心关注的香港储蓄险业务无关，属于明确的非相关主题，应排除。,2025-07-20 21:41:38
大步迈向世界第一！香港如此，香港保险亦如此！,https://mp.weixin.qq.com/s/-wThOyVPS-m23MQUZqW1PA,港险宝宝PRO,⛔ 看文章再确定,标题虽提及'香港保险'，但内容过于泛泛，未明确提及具体产品或增量信息，需进一步阅读以判断其价值。,2025-07-20 21:41:38
稳定币风暴来袭，普通人如何把握机遇？,https://mp.weixin.qq.com/s/8PHFX4DZCAQCcsTLHzYU4A,港险圈研究院,🙅‍ 不选,标题涉及'稳定币'，属于政策风险排除列表中的高危词汇，与香港保险业务无关，必须剔除。,2025-07-20 22:38:05
想靠来香港插班逃离内卷，没想到更卷了,https://mp.weixin.qq.com/s/9DwmCoA6JlXI5oy5Pqk6nA,小冯妮儿的财富日记,🙅‍ 不选,标题内容与香港保险无关，属于生活记录类，无业务价值。,2025-07-20 22:38:05
"宗馥莉遭""私生子""起诉21亿美元信托：高净值家庭传承的三大致命陷阱",https://mp.weixin.qq.com/s/dGiyPddmaRPYTjIYatRyoQ,小冯妮儿的财富日记,⛔ 看文章再确定,标题涉及高净值家庭传承话题，但未明确关联香港保险，需进一步判断其可复用价值。,2025-07-20 22:38:05
如何一年赚 1000 万？,https://mp.weixin.qq.com/s/q0KBCqZS4KretI5BTZFM-A,小冯妮儿的财富日记,🙅‍ 不选,标题内容与香港保险无关，属于泛理财话题，无业务价值。,2025-07-20 22:38:05
"美元指数跌破97！高净值人群的""危机""还是""机遇""？",https://mp.weixin.qq.com/s/yyqcqBBrBD93AHSPA4SnjA,小冯妮儿的财富日记,⛔ 看文章再确定,标题涉及美元指数和高净值人群，但未明确关联香港保险，需进一步判断其可复用价值。,2025-07-20 22:38:06
人民币冲破7.18，现在换美元去投保香港保险，有汇率风险吗？,https://mp.weixin.qq.com/s/Ew-SvsvGeEk4jJyMkEjpPA,小冯妮儿港险案例库,🙅‍ 不选,标题涉及'换美元'和'汇率风险'，属于政策风险排除列表中的'换汇'和'外汇管制'相关内容，对账号安全构成威胁，必须无条件剔除。,2025-07-20 22:38:06
2年保证回本，5年保证单利4.75%，比银行定存高3.6倍！,https://mp.weixin.qq.com/s/byFAOR-ld4ZhnTcd5ltrww,小冯妮儿聊港险,➿ 钩子文章,标题包含具体数字（2年回本、4.75%单利）和对比（比银行定存高），但未明确提及香港保险公司或产品名称，属于钩子文章。,2025-07-20 22:38:06
最新！跨境支付通香港银行由6家增至17家！,https://mp.weixin.qq.com/s/uay9c-lFYcc27p831aCNnw,小冯妮儿聊港险,🙅‍ 不选,标题涉及'跨境支付通'，属于政策风险排除列表中的高危词汇，对账号安全构成威胁，必须无条件剔除。,2025-07-20 22:38:06
秒到账！「跨境支付通」香港银行增至17家！买香港保险更方便！,https://mp.weixin.qq.com/s/heUMp-bHYeHedD5aWsFBCQ,港险优选专家,🙅‍ 不选,标题涉及'跨境支付通'，属于政策风险排除列表中的高危词汇，对账号安全构成威胁，必须无条件剔除。,2025-07-20 22:38:06
速看！多地税局严查个人境外收入！你的香港保险会受影响吗？,https://mp.weixin.qq.com/s/KL6oUl5qgkZhJJhICXcLcA,港险优选专家,🙅‍ 不选,标题涉及'税局严查个人境外收入'，属于政策风险排除列表中的'税务研讨'相关内容，对账号安全构成威胁，必须无条件剔除。,2025-07-20 22:38:06
港险七月后告别 “收益内卷”：新战场拼什么？,https://mp.weixin.qq.com/s/j0k-GffIsYVKNOJNgvOFpw,心水保,⛔ 看文章再确定,标题讨论'港险七月后'的变化，但未明确涉及具体产品或增量信息，需要进一步阅读文章以判断其可复用价值。,2025-07-20 22:38:06
香港银行卡开户攻略 | 内地居民如何轻松拿下香港银行账户？（附汇丰、中银开户流程）,https://mp.weixin.qq.com/s/lpzrkRBXCj87KmtAmIhJJw,心水保,🙅‍ 不选,标题涉及'香港银行卡开户攻略'和'汇丰、中银开户流程'，属于开户类型内容，涉及两地政策风险，不能选。,2025-07-20 22:38:06
分红险两项新规丨给零分红打好预防针,https://mp.weixin.qq.com/s/_rjeDrGjH8gbQoVvGPRZYw,Pippo的金融笔记,⛔ 看文章再确定,标题讨论'分红险两项新规'，但未明确涉及具体产品或增量信息，需要进一步阅读文章以判断其可复用价值。,2025-07-20 22:38:06
立Q五年期保险丨最高保证收益4.75%（海报自提）,https://mp.weixin.qq.com/s/sijNSw7PRB8dMxGi2xdSTw,Pippo的金融笔记,⛔ 看文章再确定,标题提及'立Q五年期保险'，但未明确说明是否为香港保险，需要进一步阅读文章以判断其可复用价值。,2025-07-20 22:38:06
2025年，澳门总共有13家保险公司,https://mp.weixin.qq.com/s/lKTGlnpEQQ48ikI7necogw,香港保险行业资讯,🙅‍ 不选,标题涉及澳门保险公司，与香港保险业务无关。,2025-07-20 22:38:06
重磅利好！「跨境支付通」香港银行已增至17家！（附完整操作指引）,https://mp.weixin.qq.com/s/8U5HyeuN0URIHO6w8KRfzw,香港投资风向标,🙅‍ 不选,标题涉及'跨境支付通'，属于开户内容，属于高危类型的内容，涉及政策风险。,2025-07-20 22:38:06
娃哈哈更多内幕曝光，宗馥莉危险了,https://mp.weixin.qq.com/s/--B6tSYJeuH3tAzt2Zd-qg,胡胡的全球笔记,🙅‍ 不选,标题与香港保险无关，属于无价值内容。,2025-07-20 22:38:06
年化8%-9%，无脑搞钱的躺平策略...,https://mp.weixin.qq.com/s/kYkSdniROpcCDIx2UcCYLw,胡胡的全球笔记,🙅‍ 不选,标题未明确指向香港保险，且涉及高风险投资策略，属于无价值内容。,2025-07-20 22:38:06
分红实现率100%的AAA巨头，意大利王炸来了,https://mp.weixin.qq.com/s/S3ILQJ6jdZc-TNuk6Lgo3A,胡胡的全球笔记,🙅‍ 不选,标题涉及意大利保险公司，与香港保险业务无关。,2025-07-20 22:38:06
必开港卡top1，99.99%成功率~,https://mp.weixin.qq.com/s/co1dXP0SEFwZH8uu4PRxzw,胡胡的全球笔记,🙅‍ 不选,标题涉及香港银行开户，属于高危类型的内容，涉及政策风险。,2025-07-20 22:38:06
豪门争产大瓜！700亿帝国背后，更多内幕曝光！,https://mp.weixin.qq.com/s/ZUJ4kuEIfJHLctaeAq66sQ,港险渠道,🙅‍ 不选,标题涉及'豪门争产'和'700亿帝国'，属于财富传承范畴，但未明确指向香港保险或相关金融产品，且内容可能偏八卦性质，不符合我们的核心业务需求。,2025-07-20 22:38:06
从娃哈哈21亿美金风波看财富传承新思路,https://mp.weixin.qq.com/s/hR-1pxvFrg7ccbTlCHPsnw,港险渠道,⛔ 看文章再确定,标题提及'财富传承新思路'，可能与香港保险相关，但需要进一步阅读文章以确认其是否提供有价值的增量信息或具体产品分析。,2025-07-20 22:38:06
汇丰邮寄卡片如何激活？,https://mp.weixin.qq.com/s/UtOcy7Wp018RRRxdNbRSUQ,leesin境外咨询笔记,🙅‍ 不选,标题涉及'汇丰邮寄卡片激活'，属于银行开户或卡片使用攻略，与香港保险业务无关，且可能涉及政策风险。,2025-07-20 22:38:06
重疾险和医疗险拒赔的真相,https://mp.weixin.qq.com/s/nufq7pEevpoTDjxk-8NrnA,leesin境外咨询笔记,⛔ 看文章再确定,标题提及'重疾险和医疗险拒赔'，可能涉及保险行业通用逻辑，但需要进一步阅读以确认是否与香港储蓄险相关或有可复用价值。,2025-07-20 22:38:06
境外券商、私行都在推的 FCN（固定票息票据）到底有什么猫腻？,https://mp.weixin.qq.com/s/YJP_udDBo7L92R8ypZ_Ifw,港险研究院,🙅‍ 不选,标题涉及'FCN（固定票息票据）'，属于金融衍生品范畴，与香港保险业务无关，且可能涉及政策风险。,2025-07-20 22:38:06
假如宗庆后太太当初这么做，或许就没有私生子女什么事~,https://mp.weixin.qq.com/s/NkR3MKiB3FulIaUL4v4Z0g,港险研究院,🙅‍ 不选,标题涉及财富传承的八卦性质内容，未明确指向香港保险或相关金融产品，且内容可能偏个人化和情绪化，不符合业务需求。,2025-07-20 22:38:06
内地豪客628亿背后的挪储暗战,https://mp.weixin.qq.com/s/U_ySmfniRIcIXbQu8hPsdA,港险研究院,⛔ 看文章再确定,标题提及'挪储暗战'，可能与香港保险相关，但需要进一步阅读以确认是否提供有价值的增量信息或具体产品分析。,2025-07-20 22:38:06
招聘 | 港险研究院研究助理岗位,https://mp.weixin.qq.com/s/7Ca7CLoG6tIB7FG1iGOsIA,港险研究院,🙅‍ 不选,标题为招聘信息，与香港保险业务无关，不符合内容分类需求。,2025-07-20 22:38:07
集团背书，布局全球：一文告诉你，为什么要选择多财投资,https://mp.weixin.qq.com/s/ZE2KdQW6eg9g8BhDgqHLEw,多财Global,🙅‍ 不选,标题提及'多财投资'，未明确指向香港保险或相关金融产品，且内容可能偏广告性质，不符合业务需求。,2025-07-20 22:38:07
一篇文章说清楚稳定币,https://mp.weixin.qq.com/s/_1ulR9hFgVTA_sRRPY5nWQ,蓝星探险,🙅‍ 不选,标题涉及'稳定币'，属于政策风险排除范围，且与香港保险无关，必须剔除。,2025-07-20 22:38:07
这代码绝了！富卫1828“一发二发一路发”，开启财富新征程！,https://mp.weixin.qq.com/s/GrA2S7J592nRsssPuJCnXw,香港保险圈,⛔ 看文章再确定,标题提及富卫和'一发二发一路发'，但内容不明确是否与具体产品相关，需要阅读文章以判断其可复用价值。,2025-07-20 22:38:07
“娃哈哈宗馥莉和同父异母三弟妹21亿美元遗产纠纷”的思考和出路！,https://mp.weixin.qq.com/s/s9FZOSKC3pCscHTzymfeQg,港险宝宝PRO,⛔ 看文章再确定,标题提及遗产纠纷，可能涉及家族信托或保险规划，但内容不明确是否与香港保险相关，需要阅读文章以判断其可复用价值。,2025-07-20 22:38:07
“伪家族信托” 和 “地下香港保单”！,https://mp.weixin.qq.com/s/7y2NQuVeBI1MJBkMFNe8oA,港险宝宝PRO,🙅‍ 不选,标题涉及'伪家族信托'和'地下香港保单'，属于政策风险排除范围，必须剔除。,2025-07-20 22:38:07
宗庆后的继承之战，给香港保险提了个醒,https://mp.weixin.qq.com/s/3F-v8NrlIzy6N7_tr8_lnQ,特别分子Mark,⛔ 看文章再确定,标题提及继承之战和香港保险，但内容不明确是否与具体产品相关，需要阅读文章以判断其可复用价值。,2025-07-20 22:38:07
4143万「家族信托」被击穿，我真的担心…,https://mp.weixin.qq.com/s/OXLngVi4ZzFJrmLLwsyzOQ,特别分子Mark,🙅‍ 不选,标题涉及'家族信托'被击穿，属于政策风险排除范围，必须剔除。,2025-07-20 22:38:07
万一活到100岁，怎样才算「蛮好的人生」？,https://mp.weixin.qq.com/s/RLaMeVnAkEa7neyhwag9EA,特别分子Mark,⛔ 看文章再确定,标题涉及养老规划，但内容不明确是否与香港保险相关，需要阅读文章以判断其可复用价值。,2025-07-20 22:38:07
4年超保费，终身分红，“蛮好的人生”蛮好的~,https://mp.weixin.qq.com/s/ae8_hBEdukzJqdGH8jzcGQ,木木小财女,⛔ 看文章再确定,标题提到'终身分红'，但未明确提及香港保险产品名称或公司，需要通过文章内容进一步确认是否与香港储蓄险业务相关，并判断其可复用价值。,2025-07-20 22:38:07
4年回本，终身分红，“蛮好的人生”蛮好的~,https://mp.weixin.qq.com/s/UMW9tYj_dcrW9h8pYCHDjw,木木小财女,⛔ 看文章再确定,标题提到'4年回本'和'终身分红'，但未明确提及香港保险产品名称或公司，需要通过文章内容进一步确认是否与香港储蓄险业务相关，并判断其可复用价值。,2025-07-20 22:38:07
永明万年青星河 尊享II、传承 II：6.5% 时代，收溢稳、功能全、传承强的新标杆来了！,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2025-07-20 22:38:07
富卫上市大礼包！「盈J天下」无门槛优惠高达33.5%，再送5.56%美元定存！,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2025-07-20 22:38:07
利率不断下降，复利 7%的香港储蓄险被追捧，值不值得买？,https://mp.weixin.qq.com/s/HFs99KmLj5VGEMjw3q0GJw,多财Global,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-20 22:48:59
利率不断下降，复利 7%的香港储蓄险被追捧，值不值得买？,https://mp.weixin.qq.com/s/HFs99KmLj5VGEMjw3q0GJw,多财Global,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-20 22:48:59
利率不断下降，复利 7%的香港储蓄险被追捧，值不值得买？,https://mp.weixin.qq.com/s/HFs99KmLj5VGEMjw3q0GJw,多财Global,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-20 22:48:59
利率不断下降，复利 7%的香港储蓄险被追捧，值不值得买？,https://mp.weixin.qq.com/s/HFs99KmLj5VGEMjw3q0GJw,多财Global,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-20 22:48:59
利率不断下降，复利 7%的香港储蓄险被追捧，值不值得买？,https://mp.weixin.qq.com/s/HFs99KmLj5VGEMjw3q0GJw,多财Global,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-20 22:48:59
房产、存款、股票…CRS下谁最“危”？香港保险为何仍是精英资产配置必选项？,https://mp.weixin.qq.com/s/eItLYV3mR9pwOUtR3uq0cQ,港险圈研究院,🙅‍ 不选,标题包含高危词汇'CRS'，属于政策风险排除范畴，必须无条件归类为不选。,2025-07-20 23:39:30
「跨境支付通」强势升级！17 家香港银行任选，秒到账让港险购买超方便！,https://mp.weixin.qq.com/s/fRhsmO33JXbepFtY54K2yw,心水保,🙅‍ 不选,标题涉及'跨境支付通'，属于高危词汇列表中的内容，涉及政策风险，必须无条件归类为不选。,2025-07-20 23:39:30
香港保诚保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/p8Qf_UJ2J-TuIvEX04kzHw,香港保险行业资讯,⛔ 看文章再确定,标题提及香港保险公司（保诚）和APP操作流程，但内容是否能为香港储蓄险业务提供有价值的增量信息不明确，需要阅读文章以判断其可复用价值。,2025-07-20 23:39:30
香港友邦保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/-JuyW-lbAYBaDhS9Mx__vQ,香港保险行业资讯,⛔ 看文章再确定,标题提及香港保险公司（友邦）和APP操作流程，但内容是否能为香港储蓄险业务提供有价值的增量信息不明确，需要阅读文章以判断其可复用价值。,2025-07-20 23:39:30
香港宏利保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/PVCvkPWnFXYHs8z-y-HMFQ,香港保险行业资讯,⛔ 看文章再确定,标题提及香港保险公司（宏利）和APP操作流程，但内容是否能为香港储蓄险业务提供有价值的增量信息不明确，需要阅读文章以判断其可复用价值。,2025-07-20 23:39:30
65岁养老破局：香港保单6.5%复利+内地高端社区入住权，中产逆袭新方案,https://mp.weixin.qq.com/s/nUWlPJnw6PTPMliit5w_OA,港险圈研究院,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-22 01:39:47
剑指全球财富管理头把交椅！香港正以 35.1 万亿体量、81% 净流入暴增强势领跑,https://mp.weixin.qq.com/s/INGXV7mDRrbDg8EFKnE7RQ,心水保,🙅‍ 不选,标题涉及宏观财富管理数据，未直接关联香港保险产品或客户决策，属于非相关主题。,2025-07-22 01:39:54
香港保险要交税？CRS 监管趋严 + 海外征税升级，答案看这里！,https://mp.weixin.qq.com/s/18blUN3kjB0G5ggORoJ7Sw,心水保,🙅‍ 不选,标题提及'CRS'和'海外征税'，属于政策风险排除列表中的高危词汇，必须无条件剔除。,2025-07-22 01:39:54
一张20年前的保单告诉你，保险值得信赖！,https://mp.weixin.qq.com/s/LVGsN33XkVXW1_DJHBlKJg,Pippo的金融笔记,⛔ 看文章再确定,标题未明确提及香港保险或具体产品，需进一步判断是否涉及香港保险的可复用信息。,2025-07-22 01:39:54
加仓50万！,https://mp.weixin.qq.com/s/TycnITwebJaQR_vl54fN7w,胡胡的全球笔记,⛔ 看文章再确定,标题过于简短，未明确关联香港保险或具体场景，需进一步判断内容价值。,2025-07-22 01:39:54
港美股开户暑假活动,https://mp.weixin.qq.com/s/7XzQbKpFCgCkvgv4r6uTSQ,leesin境外咨询笔记,🙅‍ 不选,标题涉及'港美股开户'，属于非相关主题，必须排除。,2025-07-22 01:39:54
多次反转，但宗馥莉一定会赢？3种传承工具一次说清！,https://mp.weixin.qq.com/s/b75yXms0rX3JjlpyoTc7cw,木木小财女,⛔ 看文章再确定,标题提及'传承工具'但未明确关联香港保险，需进一步判断是否涉及香港保险的可复用信息。,2025-07-22 01:39:54
15年2倍，20年3倍，30年6倍！国寿海外「傲L盛世」闪亮登场！,https://mp.weixin.qq.com/s/FDJqgAC2zW3u4qEN8VURrA,港险宝宝PRO,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-07-28 13:41:25
新消息！香港友邦将在8月上调「盈御多元货币计划3」预期收益，彻底把港险市场搞炸了！,https://mp.weixin.qq.com/s/TRnkdOdsxrLmsrbdS-KSKA,小冯妮儿港险案例库,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-08-05 11:09:19
收藏帖！香港各大保险公司APP下载指南,https://mp.weixin.qq.com/s/xwDS-GL7bnnlteRotsdExA,长城港险,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2025-08-05 11:34:24
现在买保险，越来越没有性价比了,https://mp.weixin.qq.com/s/yz49xqcw8lUtYz6Msd9JYQ,小冯妮儿的财富日记,⛔ 看文章再确定,标题未明确提及香港保险或具体产品，且内容较模糊，需进一步阅读以判断是否与香港储蓄险业务相关。,2025-08-05 11:38:13
国内保险预定利率下调至 2%，低息意味着什么？解读日本失落的三十年,https://mp.weixin.qq.com/s/tFMJ24G4u2Zr_FV8NYaKVw,小冯妮儿的财富日记,🙅‍ 不选,标题提及'国内保险'和'日本失落的三十年'，属于内地保险和宏观经济话题，与香港储蓄险业务无关。,2025-08-05 11:38:14
被客户截胡、被金主PUA、被同行背刺——为什么我还愿意做香港保险？,https://mp.weixin.qq.com/s/JiOcuOOrnuX_jtqYN6GdPA,小冯妮儿的财富日记,⛔ 看文章再确定,标题虽提及'香港保险'，但内容偏向个人经历和情绪表达，需进一步判断是否能提炼出有价值的客户痛点或行业洞察。,2025-08-05 11:38:14
香港人说，他们人均 10 个保单,https://mp.weixin.qq.com/s/TnBSLcm8TRvoXoJm26LRtA,小冯妮儿的财富日记,⛔ 看文章再确定,标题提及'香港'和'保单'，但未明确指向储蓄险或具体产品，需阅读文章以判断其内容价值。,2025-08-05 11:38:14
亲测！跨境支付通内地和香港互相汇款秒到账，0手续费，3 步搞定！,https://mp.weixin.qq.com/s/ygeL9XV9egJwdfAnGXvU8A,小冯妮儿港险案例库,🙅‍ 不选,标题涉及'跨境支付通'和'汇款'，属于政策风险内容（外汇相关），需无条件排除。,2025-08-05 11:38:14
微信支付新突破：内地用户单日可转账20万至香港，保费缴纳更便捷！！,https://mp.weixin.qq.com/s/l0r_o5JyQZJRmGhSYpASvQ,小冯妮儿港险案例库,🙅‍ 不选,标题涉及'转账'和'保费缴纳'，属于政策风险内容（外汇相关），需无条件排除。,2025-08-05 11:38:14
又有一批港险经纪人要跑路了？小冯妮儿团队陪你到底！,https://mp.weixin.qq.com/s/0jjc0pMoVRS5heHfbHQFVQ,小冯妮儿聊港险,⛔ 看文章再确定,标题提及'港险经纪人'，但内容偏向行业动态或个人宣传，需进一步判断是否能提炼出通用逻辑或客户痛点。,2025-08-05 11:38:14
生娃，国家奖10800块，它直接给4万，这羊毛不薅？,https://mp.weixin.qq.com/s/krlgeIuFWakyPdjrLa0vow,小冯妮儿聊港险,➿ 钩子文章,标题包含具体数字（10800、4万）和利益点，但未明确指向香港保险，符合钩子文章的特征。,2025-08-05 11:38:14
买香港保险，钱回内地真的很丝滑！,https://mp.weixin.qq.com/s/dYk2iLrZ8N4CxD_xDavbzQ,小冯妮儿聊港险,🙅‍ 不选,标题涉及'钱回内地'，属于政策风险内容（外汇相关），需无条件排除。,2025-08-05 11:38:14
华夏人寿被清算丨下一家会轮到谁？,https://mp.weixin.qq.com/s/jtX91n_Bygsjhe1yeTXWew,Pippo的金融笔记,🙅‍ 不选,标题涉及'华夏人寿'和'清算'，属于内地保险公司层面的风险事件，与香港储蓄险业务无关。,2025-08-05 11:38:14
国债恢复征税对保险行业的影响,https://mp.weixin.qq.com/s/f4Wu_YmpBY-qtSqElfoE8w,Pippo的金融笔记,🙅‍ 不选,标题涉及'国债'和'征税'，属于政策风险内容（税务相关），需无条件排除。,2025-08-05 11:38:14
盘盘那些停更的保险公司和背后的事,https://mp.weixin.qq.com/s/azqG6dFboTg2hwdCFQh4og,Pippo的金融笔记,⛔ 看文章再确定,标题提及'保险公司'，但未明确指向香港保险，需进一步判断是否能提炼出行业洞察或客户痛点。,2025-08-05 11:38:14
