path,old_url,new_url
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../什么是香港保险/蓝星探险_年化单利14%，香港融资保单是骗局吗？_20260426_185845.md,../../什么是香港保险/260426_蓝星探险_年化单利14%，香港融资保单是骗局吗？_185845.md
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../香港储蓄险/港险圈研究院_9年净赚一倍多，年化13.74%：这个“杠杆工具”，正在悄悄..._20260426_183349.md,../../香港储蓄险/260426_港险圈研究院_9年净赚一倍多，年化13.74%：这个“杠杆工具”，正在悄悄..._183349.md
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../什么是香港保险/有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_20260427_155905.md,../../什么是香港保险/260427_有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_155905.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._20260426_190207.md,../../热门产品/260426_港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._190207.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_20260427_155958.md,../../热门产品/260427_香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_155958.md
output_md/wiki/产品母页/安盛盛利2.md,../../其他/港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._20260426_185442.md,../../其他/260426_港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._185442.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_20260426_190215.md,../../热门产品/260426_蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_190215.md
output_md/wiki/产品母页/安盛盛利2.md,../../其他/港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_20260426_144454.md,../../其他/260426_港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_144454.md
output_md/wiki/产品母页/安盛盛利2.md,../../z产品对比/港险渠道_友邦环宇盈活 vs 安盛盛利2II - 至尊：深度对比解析_20260426_190314.md,../../z产品对比/260426_港险渠道_友邦环宇盈活 vs 安盛盛利2II - 至尊：深度对比解析_190314.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_20260426_190300.md,../../热门产品/260426_伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_190300.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/蓝星探险_进化后的安盛盛利2，太恐怖了！_20260426_190219.md,../../热门产品/260426_蓝星探险_进化后的安盛盛利2，太恐怖了！_190219.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_20260426_190243.md,../../热门产品/260426_香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_190243.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/崔伟说投资_安盛盛利 II 2 年期重磅回归！12%预缴利息+258极致..._20260426_190237.md,../../热门产品/260426_崔伟说投资_安盛盛利 II 2 年期重磅回归！12%预缴利息+258极致..._190237.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../热门产品/蓝星探险_2026年重新看宏利宏挚传承，还值得买吗？_20260426_190218.md,../../热门产品/260426_蓝星探险_2026年重新看宏利宏挚传承，还值得买吗？_190218.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../其他/港险优选专家_宏利「宏挚传承」优缺点大盘点：中短期收益王者地位不变，值不值..._20260426_185444.md,../../其他/260426_港险优选专家_宏利「宏挚传承」优缺点大盘点：中短期收益王者地位不变，值不值..._185444.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../其他/港险优选专家_揭秘宏利「宏挚传承」：前20年收益第一，但这两大“猫腻”你必..._20260426_185542.md,../../其他/260426_港险优选专家_揭秘宏利「宏挚传承」：前20年收益第一，但这两大“猫腻”你必..._185542.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../热门产品/多财Global_「宏挚家传承」PK「宏挚传承」，应该怎么选_20260426_190228.md,../../热门产品/260426_多财Global_「宏挚家传承」PK「宏挚传承」，应该怎么选_190228.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../z产品对比/香港保险行业资讯_2026年，香港5款10年期缴费储蓄险分红对比_20260426_190323.md,../../z产品对比/260426_香港保险行业资讯_2026年，香港5款10年期缴费储蓄险分红对比_190323.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../港险优惠/崔伟说投资_3月香港保险公司优惠汇总：开门红优惠力度大，抓紧时间抢占优惠..._20260426_190044.md,../../港险优惠/260426_崔伟说投资_3月香港保险公司优惠汇总：开门红优惠力度大，抓紧时间抢占优惠..._190044.md
output_md/wiki/产品母页/宏利宏挚传承.md,../../港险优惠/崔伟说投资_26年4月香港各大保险公司优惠汇总！最高12%预缴利率限时抢..._20260426_190040.md,../../港险优惠/260426_崔伟说投资_26年4月香港各大保险公司优惠汇总！最高12%预缴利率限时抢..._190040.md
output_md/wiki/创作框架/收益神话祛魅科普框架.md,../../什么是香港保险/伟伟说投资_复利6.5%也别乱买，揭秘香港分红险，曝光背后真相！_20260427_155908.md,../../什么是香港保险/260427_伟伟说投资_复利6.5%也别乱买，揭秘香港分红险，曝光背后真相！_155908.md
output_md/wiki/创作框架/行业黑盒揭露式信任建立框架.md,../../什么是香港保险/有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_20260427_155905.md,../../什么是香港保险/260427_有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_155905.md
output_md/wiki/创作框架/跟风阻断式产品问诊框架.md,../../热门产品/伟伟说投资_别跟风！关于友邦环Y盈活，这3个扎心真相没人说_20260427_160000.md,../../热门产品/260427_伟伟说投资_别跟风！关于友邦环Y盈活，这3个扎心真相没人说_160000.md
output_md/wiki/创作框架/高收益诱惑拆解框架.md,../../什么是香港保险/蓝星探险_年化单利14%，香港融资保单是骗局吗？_20260426_185845.md,../../什么是香港保险/260426_蓝星探险_年化单利14%，香港融资保单是骗局吗？_185845.md
output_md/wiki/底层认知/分红实现率判断模型.md,../../其他/港险优选专家_买香港分红险别被 “实现率” 骗了！决定你拿多少钱的关键指标..._20260426_144437.md,../../其他/260426_港险优选专家_买香港分红险别被 “实现率” 骗了！决定你拿多少钱的关键指标..._144437.md
output_md/wiki/底层认知/分红实现率判断模型.md,../../热门产品/蓝星探险_2026年重新看宏利宏挚传承，还值得买吗？_20260426_190218.md,../../热门产品/260426_蓝星探险_2026年重新看宏利宏挚传承，还值得买吗？_190218.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._20260426_190207.md,../../../热门产品/260426_港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._190207.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_20260427_155958.md,../../../热门产品/260427_香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_155958.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../其他/港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._20260426_185442.md,../../../其他/260426_港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._185442.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_20260426_190243.md,../../../热门产品/260426_香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_190243.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/多财Global_安盛「盛利II 2年缴」，独有258提领，12%预缴利率，重..._20260426_190230.md,../../../热门产品/260426_多财Global_安盛「盛利II 2年缴」，独有258提领，12%预缴利率，重..._190230.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/港险圈研究院_限时12%预缴利率！安盛「盛利II」2年缴震撼上线，收益、灵..._20260426_190254.md,../../../热门产品/260426_港险圈研究院_限时12%预缴利率！安盛「盛利II」2年缴震撼上线，收益、灵..._190254.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_20260426_190300.md,../../../热门产品/260426_伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_190300.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../热门产品/蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_20260426_190215.md,../../../热门产品/260426_蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_190215.md
output_md/wiki/来源账本/文章账本/安盛盛利2 2年缴热度文章.md,../../../其他/港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_20260426_144454.md,../../../其他/260426_港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_144454.md
output_md/wiki/案例故事/73岁父亲给3岁小儿子配置港险：不赴港传承安排.md,../../什么是香港保险/港险圈研究院_老人买港险不用折腾！3步搞定“不赴港投保”，还能稳稳传给3岁..._20260426_185922.md,../../什么是香港保险/260426_港险圈研究院_老人买港险不用折腾！3步搞定“不赴港投保”，还能稳稳传给3岁..._185922.md
output_md/wiki/案例故事/周大福匠心传承真实提领：5000美金三天到账.md,../../z非热门产品/好险有肥虫_两年前买的周大福匠心传承，提取顺利吗？_20260427_160007.md,../../z非热门产品/260427_好险有肥虫_两年前买的周大福匠心传承，提取顺利吗？_160007.md
output_md/wiki/案例故事/老王300万闲钱：提前还贷还是配置港险.md,../../香港储蓄险/长城港险_手里有300万闲钱，是提前还贷，还是买份香港储蓄险？_20260427_155916.md,../../香港储蓄险/260427_长城港险_手里有300万闲钱，是提前还贷，还是买份香港储蓄险？_155916.md
output_md/wiki/案例故事/赵女士40岁养老金方案：私企员工对抗延迟退休和长寿风险.md,../../香港储蓄险/伟伟说投资_40岁规划，退休每月多领5000元的养老金方案_20260426_190122.md,../../香港储蓄险/260426_伟伟说投资_40岁规划，退休每月多领5000元的养老金方案_190122.md
output_md/wiki/案例故事/香港银行中层一家四口：保险不是赔自己，是兜住家人.md,../../其他/港险优选专家_香港保险怎么买？香港中产的思路很实用！跟着买不踩坑！_20260426_185421.md,../../其他/260426_港险优选专家_香港保险怎么买？香港中产的思路很实用！跟着买不踩坑！_185421.md
